City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Coihaique,CL,-45.5752,-72.0662,66.15,48,75,6.91,broken clouds
100,Khatanga,RU,71.9667,102.5,-38.85,99,56,0.96,broken clouds
101,Garut,ID,-7.2024,107.8878,71.51,89,88,2.24,overcast clouds
102,Mecca,SA,21.4267,39.8261,71.55,65,0,2.55,clear sky
103,Spantov,RO,44.1167,26.7833,40.69,70,100,7.4,overcast clouds
104,Carnarvon,AU,-24.8667,113.6333,78.87,83,86,8.05,overcast clouds
105,Goderich,CA,43.7501,-81.7165,34.03,93,100,10.36,snow
106,Tilichiki,RU,60.4667,166.1,7.2,88,100,12.28,overcast clouds
107,Vanimo,PG,-2.6741,141.3028,77.09,88,100,3,overcast clouds
108,Oktyabrskiy,RU,54.4815,53.471,29.03,93,99,15.52,light snow
109,Port Blair,IN,11.6667,92.75,78.84,73,20,5.75,mist
110,Biak,ID,-0.9131,122.8766,76.17,79,98,5.39,overcast clouds
111,Port Alfred,ZA,-33.5906,26.891,75.47,93,89,21.09,moderate rain
112,Severo-Kurilsk,RU,50.6789,156.125,24.93,86,79,2.64,broken clouds
113,Clyde River,CA,70.4692,-68.5914,-19.97,76,100,4.61,light snow
114,Cidreira,BR,-30.1811,-50.2056,79.29,74,1,14.92,clear sky
115,Muscat,OM,23.6139,58.5922,71.62,60,1,6.26,clear sky
116,Katsuura,JP,35.1333,140.3,37.51,55,66,5.06,broken clouds
117,Zhanaozen,KZ,43.3,52.8,40.21,77,10,9.64,clear sky
118,Sola,VU,-13.8833,167.55,74.07,100,75,0,broken clouds
119,Yarada,IN,17.65,83.2667,71.92,94,20,2.3,mist
120,Praia,CV,14.9215,-23.5087,77.54,65,24,24.16,few clouds
121,Avarua,CK,-21.2078,-159.775,80.65,83,40,14.97,scattered clouds
122,Geraldton,AU,-28.7667,114.6,88.21,16,50,17.27,scattered clouds
123,Saint George,US,37.1041,-113.5841,42.64,23,75,11.99,broken clouds
124,Buchen,DE,49.5239,9.3231,47.25,87,38,5.79,scattered clouds
125,Kodiak,US,57.79,-152.4072,35.11,93,100,4.61,overcast clouds
126,Oyem,GA,1.5995,11.5793,72.63,80,94,4.09,light rain
127,Langarud,IR,37.197,50.1535,44.58,61,0,5.75,clear sky
128,Qiqihar,CN,47.3408,123.9672,-5.26,88,44,6.35,scattered clouds
129,Egersund,NO,58.4513,5.9997,37.13,90,86,11.43,overcast clouds
130,Hamilton,US,39.1834,-84.5333,44.58,93,100,1.99,moderate rain
131,Coquimbo,CL,-29.9533,-71.3436,68.67,70,43,8.72,scattered clouds
132,Tessalit,ML,20.1986,1.0114,69.44,10,2,9.98,clear sky
133,Bonthe,SL,7.5264,-12.505,82.83,68,7,13.27,clear sky
134,Saint-Joseph,RE,-21.3667,55.6167,79.18,90,100,29.8,moderate rain
135,Maragogi,BR,-9.0122,-35.2225,84.38,62,26,10.69,scattered clouds
136,Westport,US,41.1415,-73.3579,46.54,85,100,3,overcast clouds
137,New Norfolk,AU,-42.7826,147.0587,53.1,69,49,3.29,light rain
138,Gallup,US,35.5281,-108.7426,30.04,83,100,3,overcast clouds
139,Padang,ID,-0.9492,100.3543,78.13,87,96,4.16,very heavy rain
140,Taltal,CL,-25.4,-70.4833,71.89,67,4,10.16,clear sky
