City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Smithers,CA,2022-01-31 23:21:17,54.7804,-127.1743,26.92,93,75,2.3
125,Maraa,BR,2022-01-31 23:21:18,-1.8333,-65.3667,79.32,79,99,2.62
126,Blagoyevo,RU,2022-01-31 23:21:18,63.3667,47.9167,1.15,98,97,3.85
127,Ilo,PE,2022-01-31 23:21:19,-17.6394,-71.3375,70.25,76,5,5.21
128,Port Keats,AU,2022-01-31 23:21:20,-14.25,129.55,81.12,81,64,23.33
129,Los Andes,CL,2022-01-31 23:21:20,-32.8337,-70.5983,76.01,47,1,8.43
130,Olga,RU,2022-01-31 23:21:21,43.7444,135.2892,7.27,72,0,6.58
131,Corrente,BR,2022-01-31 23:21:21,-3.7367,-43.3394,75.42,83,64,3.36
132,Upernavik,GL,2022-01-31 23:21:22,72.7868,-56.1549,-19.8,99,92,6.4
133,Lorengau,PG,2022-01-31 23:21:22,-2.0226,147.2712,77.9,90,100,10.78
134,Kapaa,US,2022-01-31 23:22:23,22.0752,-159.319,75.18,72,0,3.0
135,Udachnyy,RU,2022-01-31 23:22:23,66.4167,112.4,-35.48,100,85,3.36
136,Zunyi,CN,2022-01-31 23:22:24,27.6867,106.9072,34.32,99,96,3.56
137,Cap-Haitien,HT,2022-01-31 23:22:24,19.7578,-72.2042,73.71,83,97,19.77
138,Gao,ML,2022-01-31 23:22:25,16.6362,1.637,63.86,10,20,12.75
139,Maceio,BR,2022-01-31 23:22:25,-9.6658,-35.7353,80.04,83,0,5.75
140,Bethel,US,2022-01-31 23:22:26,41.3712,-73.414,25.66,90,65,0.74
141,Wajima,JP,2022-01-31 23:22:26,37.4,136.9,30.88,93,20,0.0
142,Gloversville,US,2022-01-31 23:22:27,43.0528,-74.3438,21.96,56,0,4.61
143,Juba,SS,2022-01-31 23:22:27,4.8517,31.5825,84.74,22,95,2.68
144,East London,ZA,2022-01-31 23:22:28,-33.0153,27.9116,76.98,78,100,2.35
145,Nalut,LY,2022-01-31 23:22:28,30.3333,10.85,46.98,38,51,9.95
146,Rach Gia,VN,2022-01-31 23:22:29,10.0167,105.0833,75.15,91,12,7.29
147,Castro,BR,2022-01-31 23:22:29,-24.7911,-50.0119,65.37,87,9,3.6
148,Fortuna,US,2022-01-31 23:22:00,40.5982,-124.1573,54.43,71,0,5.01
149,Husavik,IS,2022-01-31 23:22:30,66.0449,-17.3389,21.11,94,100,7.72
150,Pangkalanbuun,ID,2022-01-31 23:22:31,-2.6833,111.6167,73.53,91,100,2.06
151,Alyangula,AU,2022-01-31 23:22:31,-13.8483,136.4192,82.29,70,100,16.62
152,Ormara,PK,2022-01-31 23:22:32,25.2088,64.6357,73.49,42,0,7.87
153,Urucui,BR,2022-01-31 23:22:32,-7.2294,-44.5561,78.17,75,77,1.86
154,Buchanan,LR,2022-01-31 23:22:33,5.8808,-10.0467,76.96,86,64,5.26
155,Mundra,IN,2022-01-31 23:22:33,22.85,69.7333,67.1,88,0,7.56
156,Souillac,MU,2022-01-31 23:22:34,-20.5167,57.5167,80.37,78,75,14.97
157,Namibe,AO,2022-01-31 23:22:34,-15.1961,12.1522,72.28,73,96,8.25
158,Monchegorsk,RU,2022-01-31 23:22:35,67.9397,32.8739,2.48,100,54,0.85
159,Dickinson,US,2022-01-31 23:22:36,29.4608,-95.0513,60.04,93,100,1.99
160,Ancud,CL,2022-01-31 23:22:36,-41.8697,-73.8203,62.42,72,2,8.61
161,La Ronge,CA,2022-01-31 23:22:37,55.1001,-105.2842,5.25,72,100,16.11
162,Mwinilunga,ZM,2022-01-31 23:22:37,-11.7358,24.4293,60.94,98,92,4.45
163,Turukhansk,RU,2022-01-31 23:22:38,65.8167,87.9833,9.55,94,100,11.83
164,Cape Town,ZA,2022-01-31 23:22:38,-33.9258,18.4232,74.12,80,0,2.3
165,Mercedes,AR,2022-01-31 23:22:39,-34.6515,-59.4307,72.86,41,8,8.63
166,Banda Aceh,ID,2022-01-31 23:22:39,5.5577,95.3222,76.84,84,54,7.85
167,Chifeng,CN,2022-01-31 23:22:40,42.2683,118.9636,5.56,69,0,5.46
168,Saldanha,ZA,2022-01-31 23:22:40,-33.0117,17.9442,66.25,70,16,5.75
169,Humberto De Campos,BR,2022-01-31 23:22:41,-2.5983,-43.4611,78.24,85,59,8.77
170,Sibolga,ID,2022-01-31 23:22:41,1.7427,98.7792,74.82,89,54,3.49
171,Ossora,RU,2022-01-31 23:22:42,59.2353,163.0719,19.89,94,100,16.26
172,Alta Floresta,BR,2022-01-31 23:22:42,-9.8756,-56.0861,70.97,97,71,2.55
173,Jamestown,US,2022-01-31 23:20:49,42.097,-79.2353,29.84,50,0,5.75
174,Provideniya,RU,2022-01-31 23:22:43,64.3833,-173.3,8.71,56,40,20.13
175,Saint-Pierre,RE,2022-01-31 23:22:44,-21.3393,55.4781,78.48,73,75,13.8
176,Kavieng,PG,2022-01-31 23:22:44,-2.5744,150.7967,80.89,79,100,8.43
177,Chapais,CA,2022-01-31 23:22:45,49.7834,-74.8492,-11.42,97,96,2.71
178,Empalme,MX,2022-01-31 23:22:45,27.9667,-110.8167,79.36,52,0,18.41
179,Margate,GB,2022-01-31 23:22:46,51.3813,1.3862,40.95,82,52,3.0
180,Ambatofinandrahana,MG,2022-01-31 23:22:46,-20.55,46.8,61.99,81,77,6.49
181,Ehingen,DE,2022-01-31 23:23:47,48.2826,9.7275,35.22,92,100,19.6
182,Omsukchan,RU,2022-01-31 23:23:47,62.5333,155.8,-4.77,97,100,7.14
183,North Myrtle Beach,US,2022-01-31 23:23:31,33.816,-78.68,48.49,82,0,0.0
184,Nushki,PK,2022-01-31 23:23:48,29.5542,66.0215,50.4,45,0,2.84
185,Severo-Kurilsk,RU,2022-01-31 23:20:58,50.6789,156.125,28.85,76,100,20.02
186,Goderich,CA,2022-01-31 23:23:49,43.7501,-81.7165,23.32,63,27,5.75
187,Korla,CN,2022-01-31 23:19:30,41.7597,86.1469,22.1,55,57,1.52
188,Namie,JP,2022-01-31 23:23:50,37.4833,141.0,36.97,65,5,0.25
189,Barberino Di Mugello,IT,2022-01-31 23:23:50,44.0027,11.2371,44.17,51,22,7.23
190,Puerto Narino,CO,2022-01-31 23:23:51,-3.7703,-70.3831,85.95,72,89,2.73
191,Clyde River,CA,2022-01-31 23:23:52,70.4692,-68.5914,-34.37,67,75,6.91
192,Agadir,MA,2022-01-31 23:20:40,30.4202,-9.5982,63.05,49,49,3.27
193,Yulara,AU,2022-01-31 23:23:52,-25.2406,130.9889,71.44,100,100,17.27
194,Upata,VE,2022-01-31 23:23:53,8.0086,-62.3989,77.2,64,94,5.68
195,Hadejia,NG,2022-01-31 23:23:53,12.4498,10.0444,62.49,21,3,9.78
196,Vardo,NO,2022-01-31 23:23:53,70.3705,31.1107,14.2,81,59,8.55
197,Zonguldak,TR,2022-01-31 23:23:54,41.25,31.8333,22.73,88,34,5.73
198,Broken Hill,AU,2022-01-31 23:19:15,-31.95,141.4333,77.18,65,100,8.59
199,Kathmandu,NP,2022-01-31 23:22:04,27.7167,85.3167,41.22,100,40,2.3
200,Khatanga,RU,2022-01-31 23:23:55,71.9667,102.5,-28.89,100,47,2.77
201,Corinto,GR,2022-01-31 23:23:55,37.9407,22.9573,54.68,81,100,2.77
202,Gilgit,PK,2022-01-31 23:23:56,35.9221,74.3087,27.84,80,99,2.59
203,Magadan,RU,2022-01-31 23:23:56,59.5667,150.8,2.37,77,86,12.19
204,Filadelfia,US,2022-01-31 23:20:03,39.9523,-75.1638,30.52,63,40,8.05
205,Aykhal,RU,2022-01-31 23:23:57,66.0,111.5,-27.27,100,92,5.03
206,Lagoa,PT,2022-01-31 23:23:58,39.05,-27.9833,58.69,78,27,23.98
207,Limerick,IE,2022-01-31 23:23:58,52.6647,-8.6231,49.95,85,93,18.12
208,Faanui,PF,2022-01-31 23:23:59,-16.4833,-151.75,81.45,72,5,19.13
209,Touros,BR,2022-01-31 23:23:59,-5.1989,-35.4608,79.7,72,57,13.27
210,Mount Isa,AU,2022-01-31 23:24:00,-20.7333,139.5,83.97,79,95,14.97
211,Ostrovnoy,RU,2022-01-31 23:19:33,68.0531,39.5131,12.15,96,99,5.7
212,Saurimo,AO,2022-01-31 23:24:01,-9.6608,20.3916,64.24,97,100,3.62
213,Constitucion,CL,2022-01-31 23:24:01,-35.3333,-72.4167,64.53,63,0,12.62
214,Gunjur,GM,2022-01-31 23:24:02,13.2019,-16.7339,75.27,60,100,10.36
215,Talnakh,RU,2022-01-31 23:23:09,69.4865,88.3972,6.21,95,100,8.75
216,Avarua,CK,2022-01-31 23:24:02,-21.2078,-159.775,73.45,100,100,11.5
217,Cockburn Town,TC,2022-01-31 23:21:37,21.4612,-71.1419,73.87,71,99,22.79
218,Petropavlovsk-Kamchatskiy,RU,2022-01-31 23:24:03,53.0452,158.6483,27.19,59,75,13.42
219,Hasaki,JP,2022-01-31 23:22:36,35.7333,140.8333,36.0,43,74,6.22
220,Tecoanapa,MX,2022-01-31 23:24:04,16.5167,-98.75,82.35,60,0,12.06
221,Petatlan,MX,2022-01-31 23:24:05,17.5167,-101.2667,85.8,52,0,6.58
222,Tiznit,MA,2022-01-31 23:24:05,29.5833,-9.5,64.45,40,100,4.85
223,Port Elizabeth,ZA,2022-01-31 23:24:06,-33.918,25.5701,73.69,94,100,9.22
224,Abha,SA,2022-01-31 23:24:06,18.2164,42.5053,53.42,82,0,8.05
225,Daru,PG,2022-01-31 23:25:07,-9.0763,143.2092,77.49,89,100,10.8
226,Fukue,JP,2022-01-31 23:25:08,32.6881,128.8419,43.16,70,75,1.14
227,Cidreira,BR,2022-01-31 23:25:08,-30.1811,-50.2056,73.83,84,28,6.96
228,Pangnirtung,CA,2022-01-31 23:25:09,66.1451,-65.7125,-25.6,68,20,2.3
229,Urengoy,RU,2022-01-31 23:25:09,65.9667,78.3667,5.97,97,100,6.51
230,Launceston,AU,2022-01-31 23:25:10,-41.45,147.1667,74.84,72,75,7.0
231,Ambon,ID,2022-01-31 23:25:10,-3.6954,128.1814,84.34,70,40,9.22
232,Bagacay,PH,2022-01-31 23:25:11,12.9821,124.1415,78.6,84,60,16.35
233,Katsuura,JP,2022-01-31 23:25:11,35.1333,140.3,44.11,44,87,5.21
234,Santa Maria,BR,2022-01-31 23:24:57,-29.6842,-53.8069,81.7,51,40,3.44
235,Uribia,CO,2022-01-31 23:25:12,11.7139,-72.266,80.8,62,11,13.82
236,Yuanping,CN,2022-01-31 23:25:12,38.7153,112.7575,18.25,41,0,2.06
237,Meulaboh,ID,2022-01-31 23:23:02,4.1363,96.1285,76.33,87,32,2.37
238,Belmonte,BR,2022-01-31 23:25:13,-15.8631,-38.8828,81.1,82,33,9.86
239,Gobabis,NA,2022-01-31 23:25:13,-22.45,18.9667,69.03,79,100,9.75
240,Dauriya,RU,2022-01-31 23:25:14,49.9333,116.8667,-25.55,100,52,2.37
241,Aripuana,BR,2022-01-31 23:25:15,-9.1667,-60.6333,72.18,97,100,1.86
242,Celestun,MX,2022-01-31 23:21:18,20.8667,-90.4,75.09,62,2,14.61
243,Price,US,2022-01-31 23:25:16,39.5994,-110.8107,42.12,30,0,5.75
244,Hami,CN,2022-01-31 23:25:17,42.8,93.45,20.46,38,0,3.29
245,Ponta Do Sol,PT,2022-01-31 23:25:17,32.6667,-17.1,66.0,85,35,11.83
246,Farias Brito,BR,2022-01-31 23:25:18,-6.9306,-39.5656,81.28,56,5,1.45
247,Bogorodskoye,RU,2022-01-31 23:25:18,56.55,37.8833,28.09,98,100,6.13
248,Najran,SA,2022-01-31 23:25:19,17.4924,44.1277,59.65,49,17,6.38
249,Proletariy,RU,2022-01-31 23:25:19,58.4342,31.7046,23.38,97,100,4.83
250,Tautira,PF,2022-01-31 23:25:20,-17.7333,-149.15,87.82,78,33,20.0
251,Igarka,RU,2022-01-31 23:25:20,67.4667,86.5833,3.11,95,100,14.52
252,Sosua,DO,2022-01-31 23:25:21,19.7667,-70.5167,76.98,94,75,0.0
253,Okha,RU,2022-01-31 23:25:22,53.5739,142.9478,4.82,91,99,23.55
254,Narsaq,GL,2022-01-31 23:22:36,60.9167,-46.05,26.82,92,100,5.23
255,Juneau,US,2022-01-31 23:25:22,58.3019,-134.4197,27.21,76,20,6.91
256,Dakar,SN,2022-01-31 23:25:23,14.6937,-17.4441,72.48,83,99,9.22
257,Atherton,GB,2022-01-31 23:25:23,53.5237,-2.4935,46.89,88,88,8.99
258,Port-Gentil,GA,2022-01-31 23:25:23,-0.7193,8.7815,80.89,79,48,8.66
259,Prince Rupert,CA,2022-01-31 23:25:24,54.3161,-130.3201,38.89,87,100,2.3
260,Birin,NP,2022-01-31 23:25:24,26.8865,88.0718,41.86,70,57,1.88
261,Kuraymah,SD,2022-01-31 23:25:25,18.55,31.85,53.42,29,0,13.89
262,Krapina,HR,2022-01-31 23:25:26,46.1608,15.8789,32.59,95,94,3.15
